cntry,gndr,agea,atncrse,bthcld,eisced_grouped,happy,eisced,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
AT,Hombre,47,Sí,Sí,ISCED 7,2,7,1,2,2,1,2,1,2,2,4,2,1,1,1,2,1,2,2,1,1,3,2
AT,Hombre,60,No,Sí,ISCED 1-4,8,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,2,3
AT,Mujer,39,No,Sí,ISCED 7,2,7,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3
AT,Mujer,31,Sí,Sí,ISCED 1-4,2,3,4,4,2,6,3,3,3,2,3,2,3,3,5,1,4,3,5,3,2,2,2
AT,Hombre,71,No,No,ISCED 1-4,1,3,4,3,1,1,1,2,6,4,1,1,1,1,1,1,6,1,1,1,1,1,6
AT,Mujer,49,Sí,Sí,ISCED 1-4,1,4,1,3,1,4,3,3,6,2,3,2,1,1,3,3,6,4,3,1,1,6,3
AT,Hombre,49,No,Sí,ISCED 1-4,4,3,2,3,2,2,2,5,4,2,2,2,2,2,2,2,4,2,2,2,1,2,2
AT,Mujer,76,No,Sí,ISCED 1-4,5,2,5,5,4,5,1,5,4,4,1,1,1,2,2,1,6,1,1,2,2,1,3
AT,Mujer,36,Sí,Sí,ISCED 1-4,4,3,5,5,3,2,2,3,5,3,3,2,3,2,6,3,6,1,1,1,3,1,4
AT,Mujer,30,Sí,No,ISCED 7,4,7,3,4,1,3,2,2,3,1,3,2,2,2,3,2,3,2,2,1,1,4,2
AT,Mujer,50,No,Sí,ISCED 1-4,3,3,1,4,1,3,1,5,2,1,4,4,1,2,2,2,2,2,2,2,2,2,2
AT,Mujer,46,No,Sí,ISCED 1-4,1,2,1,3,1,3,1,3,4,1,4,1,2,1,1,1,5,1,3,1,1,1,1
AT,Mujer,40,No,Sí,ISCED 1-4,1,3,3,4,3,6,2,2,4,3,6,3,2,2,5,2,3,2,6,2,3,3,2
AT,Mujer,48,No,Sí,ISCED 1-4,4,3,2,3,3,2,1,2,2,2,3,2,1,2,1,1,3,1,1,1,1,2,3
AT,Hombre,77,No,Sí,ISCED 1-4,1,3,2,5,2,4,2,3,2,5,5,5,2,5,4,3,5,2,5,2,2,3,3
AT,Mujer,73,No,No,ISCED 1-4,4,2,2,6,2,5,1,3,1,2,1,3,2,3,6,1,6,2,3,3,2,1,5
AT,Mujer,54,No,Sí,ISCED 1-4,2,3,4,5,1,5,1,3,2,1,2,2,2,3,3,1,6,2,3,1,2,3,2
AT,Hombre,25,Sí,No,ISCED 5,4,5,2,6,4,4,4,2,6,2,2,3,1,3,3,6,4,5,5,2,2,6,4
AT,Mujer,78,No,Sí,ISCED 1-4,2,2,6,6,2,5,1,3,1,4,1,6,1,2,5,1,6,1,2,1,2,1,4
AT,Mujer,57,No,Sí,ISCED 1-4,2,2,2,5,1,4,5,4,1,2,2,5,1,2,4,4,4,4,2,2,1,2,5
